Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-EE-A2GH-06A-11D-A196-08,0.056310052,0,0.849642745,383,WT
TCGA-EE-A2GI-06A-11D-A196-08,0.043452485,0,0.84361042,1920,NF1
TCGA-EE-A2GJ-06A-11D-A196-08,0.031843936,0,0.838275253,1485,NRAS
TCGA-EE-A2GK-06A-11D-A196-08,0,0,0,2,WT
TCGA-EE-A2GL-06A-11D-A196-08,0.041183221,0,0.792017161,452,NRAS
TCGA-EE-A2GM-06B-11D-A196-08,0.037296428,0,0.811203934,885,NRAS
TCGA-EE-A2GN-06A-11D-A196-08,0.010759939,0,0.697488488,513,NRAS
TCGA-EE-A2GO-06A-11D-A196-08,0.048092463,0,0.81041652,2432,NF1
TCGA-EE-A2GP-06A-11D-A197-08,0.072963272,0,0.895577008,843,NRAS
TCGA-EE-A2GR-06A-11D-A197-08,0.047406422,0,0.768690878,2007,NF1
TCGA-EE-A2GS-06A-12D-A197-08,0.062692634,0,0.796383047,420,BRAF
TCGA-EE-A2GT-06A-12D-A197-08,0.115458144,0,0.865717988,393,BRAF
TCGA-EE-A2GU-06A-11D-A196-08,0.044551136,0,0.937759524,790,NRAS
TCGA-EE-A2M5-06A-12D-A197-08,0.042059145,0,0.725308176,2475,BRAF
TCGA-EE-A2M6-06A-12D-A197-08,0.020016229,0.065498265,0.828810418,686,BRAF
TCGA-EE-A2M7-06A-11D-A197-08,0.165594984,0,0.383070344,77,BRAF
TCGA-EE-A2M8-06A-12D-A196-08,0.090018701,0,0.766881356,124,BRAF
TCGA-EE-A2MC-06A-12D-A197-08,0.090144202,0,0.823833606,965,NRAS
TCGA-EE-A2MD-06A-11D-A197-08,0.077235102,0,0.856539021,2069,NRAS
TCGA-EE-A2ME-06A-11D-A197-08,0,0,0.646349045,40,BRAF
TCGA-EE-A2MF-06A-11D-A21A-08,0.027974313,0.052844726,0.847766472,913,NRAS
TCGA-EE-A2MG-06A-11D-A197-08,0.02089546,0,0.850600842,244,BRAF
TCGA-EE-A2MH-06A-11D-A197-08,0.106154138,0,0.636297489,175,WT
TCGA-EE-A2MI-06A-11D-A197-08,0.046537804,0,0.921576102,1403,NF1
TCGA-EE-A2MJ-06A-11D-A197-08,0.037508065,0,0.958380698,2564,NF1
TCGA-EE-A2MK-06A-11D-A196-08,0,0,0.791544507,340,BRAF
TCGA-EE-A2ML-06A-11D-A197-08,0.038986319,0,0.745907953,683,NRAS
TCGA-EE-A2MM-06A-11D-A196-08,0.075818808,0,0.899076499,676,NRAS
TCGA-EE-A2MN-06A-11D-A197-08,0.03622273,0,0.726254428,194,NRAS
TCGA-EE-A2MP-06A-11D-A197-08,0.074600192,0,0.71250473,335,BRAF
TCGA-EE-A2MQ-06A-11D-A197-08,0.081692241,0.08133909,0.709279651,300,WT
TCGA-EE-A2MR-06A-11D-A196-08,0.086021165,0,0.857041792,5028,WT
TCGA-EE-A2MS-06A-11D-A197-08,0.02710863,0,0.839015393,3623,NF1
TCGA-EE-A2MT-06A-11D-A197-08,0.051478848,0,0.803473565,1216,NF1
TCGA-EE-A2MU-06A-21D-A196-08,0.041594889,0,0.862884967,869,NRAS
TCGA-EE-A3AA-06A-11D-A196-08,0.016355707,0,0.849192639,1556,BRAF
TCGA-EE-A3AB-06A-11D-A196-08,0,0,0.426995593,813,BRAF
TCGA-EE-A3AC-06A-11D-A196-08,0.030671006,0,0.822033206,1189,NRAS
TCGA-EE-A3AD-06A-11D-A196-08,0.07058211,0,0.754412783,488,BRAF
TCGA-EE-A3AE-06A-11D-A196-08,0.036699782,0,0.936091349,1860,NF1
TCGA-EE-A3AF-06A-11D-A196-08,0.044402169,0,0.726082137,1249,BRAF
TCGA-EE-A3AG-06A-31D-A196-08,0.039274654,0,0.841871373,2066,BRAF
TCGA-EE-A3AH-06A-11D-A196-08,0.014276041,0,0.856821032,453,BRAF
TCGA-EE-A3J3-06A-11D-A20D-08,0.203121916,0,0.590597086,229,BRAF
TCGA-EE-A3J4-06A-11D-A20D-08,0.07659403,0,0.623161601,392,BRAF
TCGA-EE-A3J5-06A-11D-A20D-08,0.033391746,0.020137974,0.853355054,2794,NF1
TCGA-EE-A3J7-06A-11D-A20D-08,0.072851657,0,0.630015044,1301,NRAS
TCGA-EE-A3J8-06A-11D-A20D-08,0,0,0.899950206,354,NRAS
TCGA-EE-A3JA-06A-11D-A20D-08,0.023493246,0,0.976506754,1374,NRAS
TCGA-EE-A3JB-06A-11D-A21A-08,0.041765758,0,0.639809029,778,BRAF
TCGA-EE-A3JD-06A-11D-A20D-08,0.055237388,0,0.857520855,3162,NF1
TCGA-EE-A3JE-06A-11D-A20D-08,0.083198713,0,0.57162432,328,BRAF
TCGA-EE-A3JH-06A-11D-A21A-08,0.147445625,0,0.689385112,227,BRAF
TCGA-EE-A3JI-06A-11D-A21A-08,0.031501727,0,0.683061059,1462,NRAS
TCGA-ER-A193-06A-12D-A197-08,0.04643841,0.062632022,0.845231606,2407,BRAF
TCGA-ER-A194-01A-11D-A197-08,0.045997993,0,0.866787682,1769,NF1
TCGA-ER-A195-06A-11D-A196-08,0.066161009,0,0.927400322,318,NRAS
TCGA-ER-A196-01A-11D-A197-08,0,0,0,19,WT
TCGA-ER-A197-06A-32D-A197-08,0.449594091,0.277218272,0,45,WT
TCGA-ER-A198-06A-11D-A196-08,0.084120209,0,0.764229322,622,BRAF
TCGA-ER-A199-06A-11D-A197-08,0.042430458,0,0.816317458,328,NRAS
TCGA-ER-A19A-06A-21D-A197-08,0.017347338,0,0.982652662,252,NF1
TCGA-ER-A19B-06A-11D-A196-08,0.070150899,0,0.275138147,109,BRAF
TCGA-ER-A19C-06A-11D-A196-08,0,0,0.692641907,110,BRAF
TCGA-ER-A19D-06A-11D-A197-08,0.072158778,0,0.785047667,591,NRAS
TCGA-ER-A19E-06A-11D-A197-08,0.101839221,0,0.681366073,571,BRAF
TCGA-ER-A19F-06A-11D-A196-08,0.040513709,0,0.841343961,1198,NF1
TCGA-ER-A19G-06A-11D-A196-08,0.089960356,0,0.700032166,629,BRAF
TCGA-ER-A19H-06A-12D-A196-08,0.126152513,0,0.741851042,322,BRAF
TCGA-ER-A19J-06A-11D-A196-08,0.099686304,0,0.900313696,278,BRAF
TCGA-ER-A19K-01A-21D-A197-08,0,0,0.953616152,449,BRAF
TCGA-ER-A19L-06A-12D-A197-08,0,0,0.658425342,62,WT
TCGA-ER-A19M-06A-61D-A23B-08,0.05149415,0,0.811555821,672,BRAF
TCGA-ER-A19N-06A-11D-A197-08,0,0,0.852715281,567,NRAS
TCGA-ER-A19O-06A-11D-A197-08,0.073692003,0,0.861568738,220,BRAF
TCGA-ER-A19P-06A-11D-A196-08,0,0,0.258514539,406,WT
TCGA-ER-A19Q-06A-11D-A197-08,0.178761968,0,0.77888319,142,BRAF
TCGA-ER-A19S-06A-11D-A196-08,0.057364393,0.123165032,0.752130507,238,BRAF
TCGA-ER-A19T-01A-11D-A19A-08,0.22201755,0.003386117,0.011693357,56,WT
TCGA-ER-A19W-06A-41D-A23B-08,0.099083596,0,0.602622553,453,NRAS
TCGA-ER-A1A1-06A-11D-A197-08,0,0,0.679872798,99,WT
TCGA-ER-A2NB-01A-12D-A196-08,0.199756203,0,0.069670096,70,NRAS
TCGA-ER-A2NC-06A-11D-A197-08,0.06470669,0,0.831600478,528,LEAVE OUT
TCGA-ER-A2ND-06A-11D-A196-08,0.253492307,0,0.469870492,136,BRAF
TCGA-ER-A2NE-06A-21D-A196-08,0.02911193,0,0.637315854,167,WT
TCGA-ER-A2NF-01A-11D-A19A-08,0.237716018,0,0.673767327,39,WT
TCGA-ER-A2NG-06A-11D-A196-08,0.010081973,0,0.653588666,311,BRAF
TCGA-ER-A2NH-06A-11D-A196-08,0.04571915,0,0.944807543,360,NRAS
TCGA-ER-A3ES-06A-11D-A20D-08,0.732252596,0,0.018065193,24,WT
TCGA-ER-A3ET-06A-11D-A20D-08,0.313154774,0,0.10142242,103,WT
TCGA-ER-A3EV-06A-11D-A20D-08,0.284411691,0,0.070243506,83,WT
TCGA-ER-A3PL-06A-11D-A23B-08,0.024680451,0,0.803685138,502,BRAF
TCGA-ER-A42H-01A-11D-A24R-08,0.79945262,0,0,74,WT
TCGA-ER-A42K-06A-11D-A24R-08,0.047182317,0,0.631838949,272,BRAF
TCGA-ER-A42L-06A-11D-A24R-08,0,0,0.928109952,1282,BRAF
TCGA-FR-A2OS-01A-11D-A21A-08,0.736552374,0,0,13,WT
TCGA-FR-A3R1-01A-11D-A23B-08,0.072736822,0,0.835362445,552,NF1
TCGA-FR-A3YN-06A-11D-A23B-08,0.08808702,0,0.828453045,773,NRAS
TCGA-FR-A3YO-06A-11D-A23B-08,0.070301037,0,0.891173067,1075,BRAF
TCGA-FR-A44A-06A-11D-A24R-08,0.118671506,0,0.603152793,408,BRAF
TCGA-FR-A69P-06A-21D-A30X-08,0.112614636,0,0.838095732,305,NRAS
TCGA-FR-A726-01A-11D-A32N-08,0.003240961,0,0.842443907,9255,NF1
TCGA-FR-A728-01A-11D-A32N-08,0.032449022,0.063783064,0.818541298,484,BRAF
TCGA-FR-A729-06A-11D-A34U-08,0.037069147,0,0.871687334,1118,BRAF
TCGA-FR-A7U8-06A-21D-A34U-08,0.448228907,0,0,43,WT
TCGA-FR-A7U9-06A-11D-A34U-08,0.072114778,0,0.88860751,2252,WT
TCGA-FR-A7UA-06A-32D-A34U-08,0,0,0.868860587,209,BRAF
TCGA-FR-A8YC-06A-11D-A372-08,0.045573585,0.031712681,0.827837811,3758,NF1
TCGA-FR-A8YD-06A-11D-A372-08,0.03877939,0,0.185886308,105,NF1
TCGA-FR-A8YE-06A-11D-A372-08,0.004882302,0,0.851370521,439,BRAF
TCGA-FS-A1YW-06A-11D-A197-08,0.128642464,0,0.792572025,197,NRAS
TCGA-FS-A1YX-06A-11D-A197-08,0.075206275,0,0.286573777,27,BRAF
TCGA-FS-A1YY-06A-11D-A197-08,0.092919459,0,0.825733164,246,BRAF
TCGA-FS-A1Z0-06A-11D-A197-08,0.083495687,0,0.682711369,294,WT
TCGA-FS-A1Z3-06A-11D-A197-08,0.062955018,0,0.852795726,1330,NRAS
TCGA-FS-A1Z4-06A-11D-A197-08,0,0,0.681507316,42,WT
TCGA-FS-A1Z7-06A-11D-A197-08,0.074332684,0,0.767343198,237,BRAF
TCGA-FS-A1ZA-06A-11D-A197-08,0.05333425,0,0.859943276,1476,NF1
TCGA-FS-A1ZB-06A-12D-A197-08,0.050487557,0,0.93525719,289,WT
TCGA-FS-A1ZC-06A-11D-A197-08,0.046119046,0,0.85780434,914,BRAF
TCGA-FS-A1ZD-06A-11D-A197-08,0.066496197,0,0.689151893,322,BRAF
TCGA-FS-A1ZE-06A-11D-A197-08,0.14095882,0,0.646711191,184,NRAS
TCGA-FS-A1ZF-06A-12D-A197-08,0.10368068,0.083927605,0.584891078,265,BRAF
TCGA-FS-A1ZG-06A-11D-A197-08,0.148503022,0,0,35,WT
TCGA-FS-A1ZH-06A-11D-A197-08,0.407539751,0,0.0796293,39,BRAF
TCGA-FS-A1ZJ-06A-12D-A197-08,0.505504416,0,0.027765486,63,WT
TCGA-FS-A1ZK-06A-11D-A197-08,0.013307022,0,0.734423224,2048,WT
TCGA-FS-A1ZM-06A-12D-A197-08,0.097898436,0.098180273,0.730509308,288,WT
TCGA-FS-A1ZN-01A-11D-A197-08,0,0,0.834359004,130,BRAF
TCGA-FS-A1ZP-06A-11D-A197-08,0.088599112,0,0.880725151,501,NRAS
TCGA-FS-A1ZQ-06A-11D-A197-08,0,0,0.915172756,592,NRAS
TCGA-FS-A1ZR-06A-21D-A197-08,0.018831274,0,0.92394462,164,BRAF
TCGA-FS-A1ZS-06A-12D-A197-08,0.095811596,0.090619632,0.724281377,354,BRAF
TCGA-FS-A1ZT-06A-11D-A197-08,0.09278469,0,0.89254291,231,NRAS
TCGA-FS-A1ZU-06A-12D-A196-08,0.452603475,0,0.168353474,47,WT
TCGA-FS-A1ZW-06A-12D-A197-08,0.099215161,0,0.765494547,832,NRAS
TCGA-FS-A1ZY-06A-11D-A197-08,0.27550915,0,0.092016254,38,WT
TCGA-FS-A1ZZ-06A-11D-A197-08,0.064165762,0,0.935025245,1830,NF1
TCGA-FS-A4F0-06A-11D-A24R-08,0.018513319,0,0.747512504,750,WT
TCGA-FS-A4F4-06A-12D-A25O-08,0.043544119,0,0.041343308,46,NF1
TCGA-FS-A4F5-06A-11D-A25O-08,0.061385019,0,0.918609089,956,NRAS
TCGA-FS-A4F8-06A-11D-A25O-08,0.075211187,0.072681091,0.777853416,217,BRAF
TCGA-FS-A4F9-06A-11D-A24R-08,0.040139015,0,0.799638669,591,NRAS
TCGA-FS-A4FB-06A-11D-A25O-08,0.050622041,0,0.743365842,233,BRAF
TCGA-FS-A4FC-06A-11D-A24R-08,0.070795688,0,0.879284467,976,NRAS
TCGA-FS-A4FD-06A-11D-A25O-08,0,0,0.884982798,591,WT
TCGA-FW-A3I3-06A-11D-A21A-08,0.552610767,0,0.059381713,66,NF1
TCGA-FW-A3R5-06A-11D-A23B-08,0.035580613,0,0.75934839,20681,NF1
TCGA-FW-A3TU-06A-11D-A23B-08,0.077143425,0,0.727838369,1039,NF1
TCGA-FW-A3TV-06A-11D-A23B-08,0.098514634,0,0.770378634,445,BRAF
TCGA-FW-A5DX-01A-11D-A27K-08,0.054107585,0,0.751308719,252,BRAF
TCGA-FW-A5DY-06A-11D-A30X-08,0.027287963,0,0.971139341,219,BRAF
TCGA-GF-A2C7-01A-11D-A197-08,0.026896032,0,0.611395746,97,BRAF
TCGA-GF-A3OT-06A-23D-A23B-08,0.088196435,0,0.734540456,726,NRAS
TCGA-GF-A4EO-06A-12D-A24R-08,0.009290044,0,0.721943087,312,NF1
TCGA-GF-A6C8-06A-12D-A30X-08,0.072557322,0.05804983,0.74412535,470,BRAF
TCGA-GF-A6C9-06A-11D-A30X-08,0.042080372,0,0.953283453,3674,BRAF
TCGA-GF-A769-01A-32D-A32N-08,0.097732273,0,0.687850415,203,BRAF
TCGA-GN-A262-06A-11D-A196-08,0.024817683,0,0.669474206,407,BRAF
TCGA-GN-A263-01A-11D-A196-08,0.031138857,0,0.836298374,553,BRAF
TCGA-GN-A264-06A-11D-A196-08,0.017055352,0,0.073240073,52,WT
TCGA-GN-A265-06A-21D-A197-08,0,0,0.74486455,274,BRAF
TCGA-GN-A266-06A-11D-A197-08,0.063290769,0,0.90288563,4878,NF1
TCGA-GN-A267-06A-21D-A196-08,0.075968395,0,0.691819746,571,NRAS
TCGA-GN-A268-06A-11D-A196-08,0,0,0.874134037,420,NRAS
TCGA-GN-A269-01A-11D-A19A-08,0.003040591,0,0.876169588,924,BRAF
TCGA-GN-A26A-06A-11D-A19A-08,0.068904119,0,0.711727908,387,BRAF
TCGA-GN-A26C-01A-11D-A19A-08,0.038082514,0,0.923965343,2059,NF1
TCGA-GN-A26D-06A-11D-A19A-08,0.373234344,0.129420194,0.01906336,47,WT
TCGA-GN-A4U3-06A-11D-A32N-08,0.03663238,0,0.746926655,464,NRAS
TCGA-GN-A4U4-06A-11D-A32N-08,0.024037081,0,0.905519247,964,WT
TCGA-GN-A4U5-01A-11D-A32N-08,0.013186554,0,0.714159147,418,BRAF
TCGA-GN-A4U7-06A-21D-A32N-08,0.042340619,0,0.644455311,327,BRAF
TCGA-GN-A4U8-06A-11D-A32N-08,0.037688703,0,0.848701681,530,BRAF
TCGA-GN-A4U9-06A-11D-A32N-08,0.238762265,0,0.025324026,74,NRAS
TCGA-GN-A8LK-06A-11D-A372-08,0.05033713,0,0.830341999,2679,WT
TCGA-GN-A8LL-06A-21D-A372-08,0.050252519,0,0,53,WT
TCGA-GN-A8LN-01A-11D-A372-08,0.101926049,0,0.862902583,333,NRAS
TCGA-GN-A9SD-06A-11D-A401-08,0.059555455,0.070669088,0.638057455,195,BRAF
TCGA-HR-A2OG-06A-21D-A197-08,0.081744357,0,0.714242313,230,NRAS
TCGA-HR-A2OH-06A-11D-A197-08,0.126700712,0,0.67027552,155,BRAF
TCGA-HR-A5NC-01A-11D-A27K-08,0.21929562,0,0.375042237,85,BRAF
TCGA-IH-A3EA-01A-11D-A20D-08,0,0,0.971798385,1919,BRAF
TCGA-LH-A9QB-06A-11D-A38G-08,0.028631464,0,0.778885498,329,BRAF
TCGA-OD-A75X-06A-12D-A32N-08,0.010174836,0,0.88690005,1394,BRAF
TCGA-QB-A6FS-06A-11D-A30X-08,0.032610224,0,0.952257099,1559,BRAF
TCGA-QB-AA9O-06A-11D-A397-08,0.066806683,0.097102378,0.794509996,1954,NRAS
TCGA-RP-A690-06A-11D-A30X-08,0.62832762,0,0.22919999,15,WT
TCGA-RP-A693-06A-13D-A30X-08,0.046412861,0,0.766501446,1028,WT
TCGA-RP-A694-06A-11D-A30X-08,0.077971502,0,0.834098594,956,WT
TCGA-RP-A695-06A-11D-A30X-08,0.035485177,0,0.84171843,1139,NRAS
TCGA-RP-A6K9-06A-41D-A34U-08,0.339265123,0,0,60,WT
TCGA-W3-A824-06A-21D-A34U-08,0.123583083,0,0.774555472,1929,NRAS
TCGA-W3-A825-06A-11D-A34U-08,0.080621351,0,0.848317701,1389,NRAS
TCGA-W3-A828-06A-11D-A34U-08,0,0,0.62053032,1823,NF1
TCGA-W3-AA1O-06A-11D-A38G-08,0.051273973,0,0.873731248,1003,WT
TCGA-W3-AA1Q-06A-11D-A38G-08,0.081828501,0,0.914859063,1257,BRAF
TCGA-W3-AA1R-06A-11D-A397-08,0.056299797,0,0.825701078,2254,BRAF
TCGA-W3-AA1V-06B-11D-A401-08,0.044842237,0,0.866228565,6802,NF1
TCGA-W3-AA1W-06A-11D-A38G-08,0.060783674,0,0.933214121,956,WT
TCGA-W3-AA21-06A-11D-A38G-08,0.026108706,0,0.858786101,701,BRAF
TCGA-WE-A8JZ-06A-11D-A372-08,0.03151419,0,0.78528388,270,NRAS
TCGA-WE-A8K1-06A-21D-A372-08,0.116369057,0,0.793892115,456,NRAS
TCGA-WE-A8K4-01A-12D-A372-08,0.05272717,0,0.840905991,1127,NF1
TCGA-WE-A8K5-06A-11D-A372-08,0.078381187,0,0.875732246,1530,BRAF
TCGA-WE-A8K6-06A-11D-A372-08,0.03903021,0,0.802770071,346,BRAF
TCGA-WE-A8ZM-06A-11D-A372-08,0.045330115,0,0.379882359,98,NF1
TCGA-WE-A8ZN-06A-11D-A372-08,0.050374052,0,0.772735161,220,NRAS
TCGA-WE-A8ZO-06A-11D-A372-08,0.08604768,0,0.907539848,464,NRAS
TCGA-WE-A8ZQ-06A-41D-A372-08,0.031378731,0.129004196,0.650169201,228,BRAF
TCGA-WE-A8ZR-06A-11D-A372-08,0,0,0.271392872,33,BRAF
TCGA-WE-A8ZT-06A-11D-A372-08,0.029014644,0,0.776513886,577,BRAF
TCGA-WE-A8ZX-06A-11D-A372-08,0.01661395,0,0.878267848,783,BRAF
TCGA-WE-A8ZY-06A-11D-A372-08,0.004376901,0,0.811006591,335,NRAS
TCGA-WE-AA9Y-06A-12D-A38G-08,0.044964199,0,0.804537679,94,WT
TCGA-WE-AAA0-06A-11D-A38G-08,0.034337677,0,0.798192788,1891,BRAF
TCGA-WE-AAA3-06A-11D-A38G-08,0.075929094,0,0.857246706,520,NRAS
TCGA-WE-AAA4-06A-12D-A38G-08,0.155105202,0,0.752158069,278,BRAF
TCGA-XV-A9VZ-01A-11D-A38G-08,0.22234171,0,0.072296052,12,WT
TCGA-XV-A9W2-01A-11D-A397-08,0.233434439,0,0,44,NF1
TCGA-XV-A9W5-01A-11D-A38G-08,0.207202189,0,0.548890329,122,BRAF
TCGA-XV-AAZV-01A-11D-A401-08,0.00760388,0,0.877160163,129,BRAF
TCGA-XV-AAZW-01A-12D-A401-08,0.112987114,0,0.708840999,204,BRAF
TCGA-XV-AAZY-01A-12D-A401-08,0,0,0.804869195,215,NRAS
TCGA-XV-AB01-06A-12D-A401-08,0,0,0.59380934,176,BRAF
TCGA-YD-A89C-06A-11D-A372-08,0.043023944,0,0.887038971,2165,NRAS
TCGA-YD-A9TA-06A-11D-A397-08,0.015740435,0,0.896795921,4269,NF1
TCGA-YD-A9TB-06A-12D-A401-08,0.08204466,0,0.807403232,420,BRAF
TCGA-YG-AA3N-01A-11D-A38G-08,0.019460884,0,0.927037489,2691,BRAF
TCGA-YG-AA3O-06A-11D-A38G-08,0.00458328,0,0.856669887,1504,BRAF
TCGA-YG-AA3P-06A-11D-A38G-08,0.039208355,0,0.074413923,91,NF1
TCGA-Z2-A8RT-06A-11D-A372-08,0.013674301,0,0.981958442,3613,WT
TCGA-Z2-AA3S-06A-11D-A397-08,0.033196313,0.076150406,0.886116237,284,WT
TCGA-Z2-AA3V-06A-11D-A397-08,0.068131171,0,0.839652765,546,BRAF
